麻辣香锅 :  hot and numbing fragrant pot
金牌馋嘴蛙 :  gold medal/CL:枚[mei2] sautéed bullfrog with chili sauce
口水鸡 :  saliva chicken
豆豉烤鱼 :  black bean/black bean sauce roast fish
鱼豆腐 :  fish tofu/bean curd
烤兔腿 :  roast rabbit leg
江湖一锅鱼 :  rivers and lakes/around the whole country/cf 两江 and 两湖, Jiangnan, Jiangxi, Hubei, Hunan provinces in Qing times/vagrant/itinerant (esp. entertainer, swindler, quack doctor etc) one/1/single/a (article)/as soon as/entire/whole/all/throughout/one" radical in Chinese characters (Kangxi radical 1) pot fish
鸡丝凉面 :  chicken silk/thread/trace/CL:條|条[tiao2] cold noodles
香辣鱼 :  fragrant spicy fish
老宅扒鸡 :  prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough residence/(coll.) to stay in at home/to hang around at home to hold on to/to cling to/to dig up/to rake/to push aside/to climb/to pull out/to strip off chicken
香辣清江鱼 :  fragrant spicy Qingjiang river in Hubei fish
麻酱油麦菜 :  sesame paste Indian lettuce
麻辣烤鱼 :  hot and numbing roast fish
招牌鲶鱼 :  signboard/shop sign/reputation of a business catfish
金牌蒜泥龙虾 :  gold medal/CL:枚[mei2] garlic/CL:頭|头[tou2],瓣[ban4] mud/clay/paste/pulp lobster
茶树菇石锅鸡 :  tea tree/Camellia sinensis mushroom stone pot chicken
骄子肥牛 :  proud/arrogant son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4] fat/fertile/loose-fitting or large/to fertilize/to become rich by illegal means/fertilizer/manure beef
鱼香烤鱼 :  yuxiang, a seasoning of Chinese cuisine that typically contains garlic, scallions, ginger, sugar, salt, chili peppers etc, but no seafood, although yuxiang literally means fish fragrance roast fish
纳西薄荷茶香虾 :  Nakhi (ethnic group) mint tea fragrant shrimp
清江鱼 :  Qingjiang river in Hubei fish
鲶鱼锅 :  catfish pot
黄豆焖猪手猪手 :  soya bean to cook in a covered vessel/to casserole/to stew pork hand / convenient pork hand / convenient
镇店之宝 :  to press down/to calm/to subdue/to suppress/to guard/garrison/small town/to cool or chill (food or drinks) inn/shop/store/CL:家[jia1] (possessive particle, literary equivalent of 的[de5])/him/her/it variant of 寶|宝[bao3]
茄子肉丁面 :  eggplant; aubergine; guinea squash diced meat face/side/surface/aspect/top/classifier for flat surfaces such as drums, mirrors, flags etc
宫保虾球 :  surname Gong Bulgaria/Bulgarian/abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4] shrimp balls
黄豆焖猪手 :  soya bean to cook in a covered vessel/to casserole/to stew pork hand / convenient
串串 :  to string together/to mix up/to conspire/to rove/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across/bunch or cluster/string (computing)/classifier for rows or strings to string together/to mix up/to conspire/to rove/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across/bunch or cluster/string (computing)/classifier for rows or strings
白肉拌凉面 :  plain boiled pork to mix/to mix in/to toss (a salad) cold noodles
藏香猪骨汤煲柴鸡 :  Tibet/Xizang 西藏 fragrant pork bone surname Tang pot or saucepan/to boil/cook or heat a variety of free-range chicken, small with furless legs, laying smaller eggs
双椒鸡 :  surname Shuang pepper chicken
金牌水煮鱼 :  gold medal/CL:枚[mei2] Sichuan poached sliced fish in hot chili oil
骨汤 :  bone surname Tang
豆豉清江鱼 :  black bean/black bean sauce Qingjiang river in Hubei fish
麻辣牛肉 :  hot and numbing beef
蒸鱼 :  to evaporate/(of cooking) to steam/torch made from hemp stalks or bamboo (old)/finely chopped firewood (old) fish
干锅鸭头 :  dry pot duck/CL:隻|只[zhi1]/male prostitute (slang) head
清汤养生锅 :  broth/clear soup/consommé to maintain good health/to raise a child or animal/curing (of concrete etc) pot
韭香鸭肠面 :  leek fragrant duck/CL:隻|只[zhi1]/male prostitute (slang) intestines face/side/surface/aspect/top/classifier for flat surfaces such as drums, mirrors, flags etc
薄荷酸梅汤 :  mint pickled plum/Japanese umeboshi surname Tang
香锅鱼 :  fragrant pot fish
麻辣鲶鱼 :  hot and numbing catfish
龙抄手 :  surname Long to fold one's arms/copyist/(dialect) wonton
冒菜 :  old variant of 冒[mao4] dish (type of food)/vegetable/cuisine/CL:盤|盘[pan2],道[dao4]/(coll.) (one's) type
碳锅鲶鱼 :  carbon (chemistry) pot catfish
红烧草菇 :  simmer-fried (dish) straw mushroom (Volvariella volvacea)/paddy straw mushroom
豆花鱼火锅 :  douhua fish hot pot
灶台鱼 :  kitchen stove/kitchen Taiwan (abbr.)/surname Tai fish
雪豆蹄花 :  surname Xue variant of 豆[dou4] hoofs flower
洋芋鸡大锅 :  potato chicken a big wok/cauldron
乌江鱼 :  abbr. for Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2]/surname Wu river fish
麻油脆笋 :  sesame oil old variant of 脆[cui4] bamboo shoot
清江烤鱼 :  Qingjiang river in Hubei roast fish
大辣碗 :  big/huge/large/major/great/wide/deep/older (than)/oldest/eldest/greatly/very much/(dialect) father/father's elder or younger brother spicy variant of 碗[wan3]
地道四川火锅 :  tunnel/causeway Sichuan province (Szechuan) in southwest China, abbr. 川 or 蜀, capital Chengdu 成都 hot pot
私家狮子头 :  private/privately owned or managed lit. lion's head/pork meatballs
南国一品南瓜飘 :  surname Nan surname Guo superb/first-rate/(of officials in imperial times) the highest rank pumpkin variant of 飄|飘[piao1]
鸡翅 :  chicken variant of 翅[chi4]
鸡杂锅 :  chicken variant of 雜|杂[za2] pot
闹闹蒸虾 :  variant of 鬧|闹[nao4] variant of 鬧|闹[nao4] to evaporate/(of cooking) to steam/torch made from hemp stalks or bamboo (old)/finely chopped firewood (old) shrimp
烤清江鱼 :  roast Qingjiang river in Hubei fish
烤兔 :  roast rabbit
午餐肉 :  lunch/luncheon/CL:份[fen4],頓|顿[dun4],次[ci4] meat
半汤牛蛙 :  half/semi-/incomplete/(after a number) and a half surname Tang bullfrog
鸭头 :  duck/CL:隻|只[zhi1]/male prostitute (slang) head
祖母菜花 :  father's mother/paternal grandmother cauliflower
三峡石爆脆肠 :  Three Gorges on the Changjiang or Yangtze, namely: Qutang Gorge 瞿塘峽|瞿塘峡[Qu1 tang2 Xia2], Wuxia Gorge 巫峽|巫峡[Wu1 Xia2] and Xiling Gorge 西陵峽|西陵峡[Xi1 ling2 Xia2] stone to explode or burst/to quick fry or quick boil old variant of 脆[cui4] intestines
鲶鱼茄子 :  catfish eggplant; aubergine; guinea squash
窜香扁豆 :  to flee/to scuttle/to exile or banish/to amend or edit fragrant dolichos bean
干锅兔头 :  dry pot rabbit head
豆瓣抄手 :  Douban, PRC social networking website to fold one's arms/copyist/(dialect) wonton
藕片 :  root of lotus disk/sheet
椰香西米糕 :  coconut palm/Taiwan pr. [ye2] fragrant sago cake
酸菜鱼 :  pickled vegetables, especially Chinese cabbage fish
销魂拌面 :  ecstasy/rapture/to feel overwhelming joy or sorrow noodles served with soy sauce/sesame butter etc
宽粉 :  surname Kuan powder/cosmetic face powder/food prepared from starch/noodles or pasta made from any kind of flour/whitewash/white/pink
蔬菜冒菜 :  vegetables/produce/CL:種|种[zhong3] old variant of 冒[mao4] dish (type of food)/vegetable/cuisine/CL:盤|盘[pan2],道[dao4]/(coll.) (one's) type
焖梭边鱼 :  to cook in a covered vessel/to casserole/to stew shuttle (textiles)/to move back and fro side/edge/margin/border/boundary/CL:個|个[ge4]/simultaneously fish
香锅虾 :  fragrant pot shrimp
石锅酱萝卜 :  stone pot thick paste of fermented soya bean/marinated in soya paste/paste/jam radish (Raphanus sativus), esp. white radish 白蘿蔔|白萝卜[bai2 luo2 bo5]/CL:條|条[tiao2]
香芋卷 :  fragrant taro/Colocasia antiquorum/Colocasia esculenta to roll up/roll/classifier for small rolled things (wad of paper money, movie reel etc)
香辣虾 :  fragrant spicy shrimp
香葱银鳕鱼 :  fragrant scallion / green onion silver/silver-colored/relating to money or currency cod
酱香牛肉面 :  thick paste of fermented soya bean/marinated in soya paste/paste/jam fragrant beef noodle soup
鸡杂 :  chicken variant of 雜|杂[za2]
大锅鸭头 :  a big wok/cauldron duck/CL:隻|只[zhi1]/male prostitute (slang) head
鱼焖锅 :  fish to cook in a covered vessel/to casserole/to stew pot
烤全鱼 :  roast surname Quan fish
鱼香虾球 :  yuxiang, a seasoning of Chinese cuisine that typically contains garlic, scallions, ginger, sugar, salt, chili peppers etc, but no seafood, although yuxiang literally means fish fragrance shrimp balls
香口鱼 :  fragrant mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls fish
焖锅鲶鱼 :  to cook in a covered vessel/to casserole/to stew pot catfish
麻小 :  variant of 麻[ma2]/hemp small/tiny/few/young
油豆皮 :  oil/fat/grease/petroleum/to apply tung oil, paint or varnish/oily/greasy/glib/cunning dried beancurd (tofu)
老板恋上鱼 :  Robam (brand) to feel attached to/to long for/to love see 上聲|上声[shang3 sheng1] fish
烤串 :  roast to string together/to mix up/to conspire/to rove/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across/bunch or cluster/string (computing)/classifier for rows or strings
十麻新派烤鱼 :  ten/10 variant of 麻[ma2]/hemp new faction roast fish
精品烤鸭 :  quality goods/premium product/fine work (of art) roast duck
两江椒麻鱼 :  two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old) river pepper variant of 麻[ma2]/hemp fish
养身鱼 :  to raise (animals)/to bring up (children)/to keep (pets)/to support/to give birth body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158 fish
芒果粒三文鱼 :  mango grain/granule/classifier for small round things (peas, bullets, peanuts, pills, grains etc) salmon
拿渡麻辣香锅 :  old variant of 拿[na2] to cross/to pass through/to ferry hot and numbing fragrant pot
酸萝卜鱼 :  sour/tart/sick at heart/grieved/sore/aching/pedantic/impractical/an acid radish (Raphanus sativus), esp. white radish 白蘿蔔|白萝卜[bai2 luo2 bo5]/CL:條|条[tiao2] fish
炝锅鱼 :  to stir-fry then cook with sauce and water/to boil food briefly then dress with soy etc/to choke/to irritate (throat etc) pot fish
蓝莓土豆泥 :  blueberry mashed potato
老板娘下酒菜 :  female proprietor/lady boss/boss's wife a dish that goes well with alcoholic drinks
眉州香肠 :  eyebrow/upper margin prefecture/state (e.g. of US)/province (old)/administrative division (old) sausage
香辣泥鳅 :  fragrant spicy loach/mud fish/CL:條|条[tiao2]
江团 :  river round/lump/ball/to roll into a ball/to gather/regiment/group/society
巫山烤鱼 :  Wushan county in Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan roast fish
鱼子豆腐 :  fish eggs/roe/caviar tofu/bean curd
烧鹅 :  to burn/to cook/to stew/to bake/to roast/to boil (tea, water etc)/fever variant of 鵝|鹅[e2]
烙饼卷带鱼 :  pancake/flat bread/griddle cake tape fish
焖鲶鱼 :  to cook in a covered vessel/to casserole/to stew catfish
干炸丸子 :  dry croquettes/deep fried food balls
泡饼 :  puffed/swollen/spongy/small lake (esp. in place names)/classifier for urine or feces round flat cake/cookie/cake/pastry/CL:張|张[zhang1]
香辣抄手 :  fragrant spicy to fold one's arms/copyist/(dialect) wonton
芥末虾球 :  mustard shrimp balls
沸腾鱼 :  boiling/ebullition fish
粉蒸肉 :  powder/cosmetic face powder/food prepared from starch/noodles or pasta made from any kind of flour/whitewash/white/pink to evaporate/(of cooking) to steam/torch made from hemp stalks or bamboo (old)/finely chopped firewood (old) meat
金钱蛋 :  money/currency egg/oval-shaped/CL:個|个[ge4],打[da2]
烤虹鳟 :  roast rainbow trout (Oncorhynchus mykiss)
香辣烤鲶鱼 :  fragrant spicy roast catfish
绿莲甜辣虾 :  green lotus sweet spicy shrimp
卤水蛋拼豆腐 :  brine/bittern/marinade egg/oval-shaped/CL:個|个[ge4],打[da2] to piece together/to join together/to stake all/adventurous/at the risk of one's life/to spell tofu/bean curd
蓝莓紫薯泥 :  blueberry purple/violet/amethyst/Lithospermum erythrorhizon (flowering plant whose root provides red purple dye)/Japanese: murasaki potato/yam mud/clay/paste/pulp
香辣乌江鱼 :  fragrant spicy abbr. for Ukraine 烏克蘭|乌克兰[Wu1 ke4 lan2]/surname Wu river fish
水煮肉 :  water boiled meat
精品鲶鱼锅 :  quality goods/premium product/fine work (of art) catfish pot
鲜花椒水煮鱼 :  fresh flowers/CL:朵[duo3] pepper Sichuan poached sliced fish in hot chili oil
椰香饭 :  coconut palm/Taiwan pr. [ye2] fragrant food/cuisine/cooked rice/meal/CL:碗[wan3],頓|顿[dun4]
酸梅汤 :  pickled plum/Japanese umeboshi surname Tang
鸡煲 :  chicken pot or saucepan/to boil/cook or heat
酸菜鲈鱼 :  pickled vegetables, especially Chinese cabbage bass/perch
面包吐司 :  bread/cl:片[pian4],袋[dai4],塊 sliced bread (loanword from toast")
秘制排骨 :  variant of 秘[mi4] system/to control/to regulate/variant of 製|制[zhi4] pork chop/pork cutlet/spare ribs
成都冒菜 :  Chengdu subprovincial city and capital of Sichuan province 四川 in southwest China old variant of 冒[mao4] dish (type of food)/vegetable/cuisine/CL:盤|盘[pan2],道[dao4]/(coll.) (one's) type
手擀面 :  hand / convenient to roll (dough etc) face/side/surface/aspect/top/classifier for flat surfaces such as drums, mirrors, flags etc
鲍汁蔬菜豆腐 :  surname Bao juice vegetables/produce/CL:種|种[zhong3] tofu/bean curd
麻辣烤鲶鱼 :  hot and numbing roast catfish
酸汤肘子 :  sour/tart/sick at heart/grieved/sore/aching/pedantic/impractical/an acid surname Tang elbow / pork shoulder son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]
自制金桔水 :  to maintain self-control/self-control surname Jin/surname Kim (Korean)/Jurchen Jin dynasty (1115-1234) Platycodon grandiflorus/water bucket water
干烧鲫鱼 :  dry to burn/to cook/to stew/to bake/to roast/to boil (tea, water etc)/fever Crucian carp
蒜烧洄鱼 :  garlic/CL:頭|头[tou2],瓣[ban4] to burn/to cook/to stew/to bake/to roast/to boil (tea, water etc)/fever eddy/whirlpool fish
各种烤鱼 :  every kind of/all kinds of/various kinds roast fish
黑椒烤鱼 :  abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1] pepper roast fish
农家大片茄子 :  School of Agriculture, school of thought of the Warring States Period (475-221 BC) wide expanse/large area/vast stretch/extending widely/blockbuster movie eggplant; aubergine; guinea squash
可送外卖 :  can/may/able to/to approve/to permit/to suit/(particle used for emphasis) certainly/very to deliver/to carry/to give (as a present)/to present (with)/to see off/to send to go/take out (relates to food bought at a restaurant)
烂糊肉丝 :  overripe/overcooked shredded meat/shredded pork
捞汁素什锦 :  to fish up/to dredge up juice raw silk/white/plain, unadorned/vegetarian (food)/essence/nature/element/constituent/usually/always/ever (food) assorted/mixed/assortment
麻辣杂锅鱼 :  hot and numbing variant of 雜|杂[za2] pot fish
清蒸多宝鱼 :  steamed in broth turbot/European imported turbot/same as 大菱鮃|大菱鲆
粥涮鲈鱼 :  porridge to rinse/to trick/to fool sb/to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table) bass/perch
口味虾 :  a person's preferences/tastes (in food)/flavor shrimp
麻辣牛蛙 :  hot and numbing bullfrog
关羽奇香鸭 :  Guan Yu (-219), general of Shu and blood-brother of Liu Bei in Romance of the Three Kingdoms, fearsome fighter famous for virtue and loyalty/posthumously worshipped and identified with the guardian Bodhisattva Sangharama odd (number) fragrant duck/CL:隻|只[zhi1]/male prostitute (slang)
扁豆焖面 :  dolichos bean to cook in a covered vessel/to casserole/to stew face/side/surface/aspect/top/classifier for flat surfaces such as drums, mirrors, flags etc
可以刷卡 :  can/may/possible/able to to use a credit card (or swipe card, smart card etc)
烤虹鳟鱼 :  roast rainbow trout (Oncorhynchus mykiss) fish
香锅 :  fragrant pot
榴莲酥 :  durian fruit flaky pastry/crunchy/limp/soft/silky
柴锅鱼 :  surname Chai pot fish
梭边鱼 :  shuttle (textiles)/to move back and fro side/edge/margin/border/boundary/CL:個|个[ge4]/simultaneously fish
重庆毛血旺 :  Chongqing city (Chungking), formerly in Sichuan province, a municipality since 1997, short name 渝[Yu2] duck's blood, beef and tripe in spicy soup
酸萝卜私家鱼 :  sour/tart/sick at heart/grieved/sore/aching/pedantic/impractical/an acid radish (Raphanus sativus), esp. white radish 白蘿蔔|白萝卜[bai2 luo2 bo5]/CL:條|条[tiao2] private/privately owned or managed fish
美蛙鱼头 :  the Americas/abbr. for 美洲[Mei3 zhou1]/USA/abbr. for 美國|美国[Mei3 guo2] frog/CL:隻|只[zhi1] fish head/fig. upright and unwilling to compromise
铁盘牛娃仔 :  surname Tie plate/dish/tray/board/to build/to coil/to check/to examine/to transfer (property)/to make over/classifier for food: dish, helping/to coil/classifier for coils of wire/classifier for games of chess beef baby/doll variant of 崽[zai3]
锡纸烧猪心 :  tin (chemistry)/to bestow/to confer/to grant/Taiwan pr. [xi2] variant of 紙|纸[zhi3] to burn/to cook/to stew/to bake/to roast/to boil (tea, water etc)/fever pork heart/mind/intention/center/core/CL:顆|颗[ke1],個|个[ge4]
小紫薯 :  small/tiny/few/young purple/violet/amethyst/Lithospermum erythrorhizon (flowering plant whose root provides red purple dye)/Japanese: murasaki potato/yam
红煨甲鱼 :  surname Hong to simmer/to roast in ashes turtle/terrapin/Taiwan pr. [jia4 yu2]
手撕羊腿 :  hand / convenient to tear mutton leg
水煮鲶鱼 :  water boiled catfish
香辣草鱼 :  fragrant spicy grass carp
酸汤鱼 :  sour/tart/sick at heart/grieved/sore/aching/pedantic/impractical/an acid surname Tang fish
麻基 :  variant of 麻[ma2]/hemp base/foundation/basic/radical (chemistry)
馋嘴牛蛙 :  gluttonous/glutton bullfrog
眉州小笼包 :  eyebrow/upper margin prefecture/state (e.g. of US)/province (old)/administrative division (old) steamed dumpling
鲶鱼焖锅 :  catfish to cook in a covered vessel/to casserole/to stew pot
豆花鱼 :  douhua fish
万州诸葛烤鱼 :  Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan two-character surname Zhuge roast fish
筋头巴脑牛杂汤 :  muscle/tendon head Ba state during Zhou dynasty (in east of modern Sichuan)/abbr. for east Sichuan or Chongqing/surname Ba/abbr. for Palestine or Palestinian/abbr. for Pakistan brain beef variant of 雜|杂[za2] surname Tang
鱼头泡饼 :  fish head/fig. upright and unwilling to compromise puffed/swollen/spongy/small lake (esp. in place names)/classifier for urine or feces round flat cake/cookie/cake/pastry/CL:張|张[zhang1]
甜汁爆鲜虾 :  sweet juice to explode or burst/to quick fry or quick boil variant of 鮮|鲜[xian3] shrimp
乾隆白菜 :  Qianlong Emperor (1711-1799), sixth Qing emperor, princely title 寶親王|宝亲王[Bao3 Qin1 wang2], personal name 弘曆|弘历[Hong2 li4], reigned 1735-1799 Chinese cabbage/pak choi/CL:棵[ke1], 個|个[ge4]
石烤虾 :  stone roast shrimp
秘制腐乳鸭 :  variant of 秘[mi4] system/to control/to regulate/variant of 製|制[zhi4] pickled tofu duck/CL:隻|只[zhi1]/male prostitute (slang)
一个馒头 :  one/1/single/a (article)/as soon as/entire/whole/all/throughout/one" radical in Chinese characters (Kangxi radical 1) individual/this/that/size/classifier for people or objects in general steamed buns, steamed bread
贵妃宫保鸡 :  senior concubine/imperial consort surname Gong Bulgaria/Bulgarian/abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4] chicken
金包咖喱鸡 :  surname Jin/surname Kim (Korean)/Jurchen Jin dynasty (1115-1234) surname Bao curry (loanword) chicken
杨楼奶酪 :  surname Yang surname Lou cheese/CL:塊|块[kuai4],盒[he2],片[pian4]
八爷烤鸭 :  eight/8 grandpa/old gentleman roast duck
豌豆黄 :  pea (pisum sativum) surname Huang or Hwang
私房煎豆腐 :  privately-owned house/private rooms/private ownings to pan fry/to sauté tofu/bean curd
三鲜烧卖 :  three fresh ingredients (in cooking) shumai (shao mai) steamed dumpling/also written 燒麥|烧麦[shao1 mai4]
鲜花椒跳水鱼 :  fresh flowers/CL:朵[duo3] pepper to dive/diving (sport, a Chinese specialty) fish
霸王鸡 :  hegemon/overlord/despot chicken
秘制酥皮虾 :  variant of 秘[mi4] system/to control/to regulate/variant of 製|制[zhi4] flaky pastry/crunchy/limp/soft/silky surname Pi shrimp
宫爆大虾球 :  surname Gong to explode or burst/to quick fry or quick boil prawn ball/sphere/globe/CL:個|个[ge4]/ball game/match/CL:場|场[chang3]
茶香虾 :  tea/tea plant/CL:杯[bei1],壺|壶[hu2] fragrant shrimp
碎溜鸡 :  to break down/to break into pieces/fragmentary to slip away/to escape in stealth/to skate chicken
羲和烤鸭 :  same as Fuxi 伏羲[Fu2 Xi1], a mythical emperor/surname Xi old variant of 和[he2] roast duck
冰窖凉浸带鱼 :  icehouse the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼|前凉 (314-376), Later Liang 後涼|后凉 (386-403), Northern Liang 北涼|北凉 (398-439), Southern Liang 南涼|南凉 (397-414), Western Liang 西涼|西凉 (400-421) to immerse/to soak/to steep/gradually ribbonfish
红烧舟山带鱼 :  simmer-fried (dish) Zhoushan prefecture level city in Zhejiang (consisting solely of islands)/formerly Dinghai 定海 ribbonfish
乡巴佬茄子 :  (derog.) villager/hick/bumpkin eggplant; aubergine; guinea squash
花家白菜 :  flower see 傢伙|家伙[jia1 huo5] Chinese cabbage/pak choi/CL:棵[ke1], 個|个[ge4]
糖醋排骨 :  sweet and sour pork chop/pork cutlet/spare ribs
李鸿章烩菜 :  Li Hung-chang or Li Hongzhang (1823-1901), Qing dynasty general, politician and diplomat to braise/to cook in soy and vinegar/braised/cooked in soy and vinegar dish (type of food)/vegetable/cuisine/CL:盤|盘[pan2],道[dao4]/(coll.) (one's) type
一品豆腐 :  superb/first-rate/(of officials in imperial times) the highest rank tofu/bean curd
金酱大棒骨 :  surname Jin/surname Kim (Korean)/Jurchen Jin dynasty (1115-1234) thick paste of fermented soya bean/marinated in soya paste/paste/jam big-stick bone
虾肉汤包 :  shrimp meat soup/broth surname Bao
帝王鸡 :  regent/monarch chicken
局气豆腐 :  narrow gas/air/smell/weather/to make angry/to annoy/to get angry/vital energy/qi tofu/bean curd
香煎法国鹅肝 :  fragrant to pan fry/to sauté France/French foie gras
招牌排骨 :  signboard/shop sign/reputation of a business pork chop/pork cutlet/spare ribs
茄子肉卷 :  eggplant; aubergine; guinea squash meat to roll up/roll/classifier for small rolled things (wad of paper money, movie reel etc)
八旗小羊排 :  Eight Banners, military organization of Manchu later Jin dynasty 後金|后金[Hou4 Jin1] from c. 1600, subsequently of the Qing dynasty lamb a row/a line/to set in order/to arrange/to line up/to eliminate/to drain/to push open/platoon/raft/classifier for lines, rows etc
三鲜烧麦 :  three fresh ingredients (in cooking) shumai (shao mai) steamed dumpling/also written 燒賣|烧卖[shao1 mai4]
鲟鱼七吃 :  sturgeon seven/7 to eat/to consume/to eat at (a cafeteria etc)/to eradicate/to destroy/to absorb/to suffer
葱烧海参 :  scallion / green onion to burn/to cook/to stew/to bake/to roast/to boil (tea, water etc)/fever sea cucumber
箱箱豆腐 :  box/trunk/chest box/trunk/chest tofu/bean curd
炒肝 :  to sauté/to stir-fry/to speculate/to hype/to fire (sb) liver/CL:葉|叶[ye4],個|个[ge4]
宫廷小吃 :  court (of king or emperor) snack
荔枝虾 :  litchi fruit shrimp
黄焖鱼翅 :  surname Huang or Hwang to cook in a covered vessel/to casserole/to stew shark fin
炙子烤肉 :  to broil/to roast son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4] barbecue (lit. roast meat)
芒果布丁 :  mango pudding (loanword)
鸡里蹦 :  chicken variant of 裡|里[li3] to jump/to bounce/to hop
祖传肉饼 :  passed on from ancestors/handed down from generation to generation meat patty
